Ville,Nombre de clients,Origine
Arzier,2,Vaud
Auvergne-Rhône-Alpes,1,France
Ballaigues,1,Vaud
Bellevue,2,Genève
Berne,1,Berne
Bernex,2,Genève
Bogis-Bossey,7,Vaud
Borex,5,Vaud
Bramois,1,Valais
Cartigny,1,Genève
Céligny,8,Genève
Cessy,7,France
Chavannes-de-Bogis,7,Vaud
Chavannes-des-Bois,12,Vaud
Cheserex,1,Vaud
Collex-Bossy,1,Genève
Commugny,20,Vaud
Coppet,40,Vaud
Corsier,1,Genève
Crans-près-Céligny,5,Vaud
Crassier,2,Vaud
Crozet,1,France
Divonne,20,France
Dubaï,1,Monde
Echenevex,2,France
Eysins,1,Vaud
Farges,1,France
Ferney-Voltaire,2,France
Founex,36,Vaud
Genève,20,Genève
Gex,10,France
Gilly,1,Vaud
Gimel,1,Vaud
Gingins,1,Vaud
Gland,6,Vaud
Grilly,1,France
La Rippe,1,Vaud
La Tour-de-Peilz,1,Vaud
Laconnex,1,Genève
Lancy,1,Genève
Lausanne,6,Vaud
Lucerne,1,Lucerne
Luins,1,Vaud
Meyrin,2,Genève
Mies,11,Vaud
Mont sur Rolle,1,Vaud
New York,1,Monde
Nyon,17,Vaud
Ornex,2,France
Orny,1,Vaud
Péron,2,France
Plan-les-Ouates,2,Genève
Pontoise,1,France
Prévessins,5,Genève
Rhode-Saint-Genèse,1,Belgique
Saint genis pouilly,1,France
Saint-Livres,1,Vaud
Satigny,1,Genève
Sauverny,3,France
Singapore,1,Monde
Staines-upon-Thames,1,Angleterre
Tannay,8,Vaud
Trélex,4,Vaud
Versoix,4,Genève
Versonnex,3,France
Vessy,1,Genève
Veyrier,1,Genève
Vich,1,Vaud